title		rating	imdb_rating	metacritic		production		imdb_votes			release_date	runtime	genre			Budget	Box Office Gross
Chhakka Panja		N/A	8.7	N/A		N/A		18			30-Sep-16	130 min	"Comedy, Drama, Family"			0	0
Michael Moore in TrumpLand		NOT RATED	6	56		Dog Eat Dog Films		"2,633"			21-Oct-16	73 min	Documentary			149090	0
Mr. Donkey		N/A	7.4	N/A		China Lion Film Distribution		554			28-Oct-16	113 min	Comedy			356023	0
Naam Shabana		N/A	6.6	N/A		Reliance Entertainment		"1,770"			31-Mar-17	147 min	"Action, Thriller"			290000000	0
Luck-Key		N/A	6.8	N/A		N/A		430			21-Oct-16	112 min	"Action, Comedy"			464715	0
Whose Streets?		N/A	6.1	81		Magnolia Pictures		26			11-Aug-17	90 min	Documentary			91446	0
Smallfoot		N/A	N/A	N/A		N/A		N/A			14-Sep-18	N/A	"Animation, Comedy, Family"			0	0
Rarandoi Veduka Chudham		N/A	7.3	N/A		N/A		69			25-May-17	145 min	Romance			150000000	0
The Man Who Invented Christmas		N/A	N/A	N/A		N/A		N/A			N/A	N/A	"Biography, Drama"			0	0
Faith's Song		N/A	5.4	N/A		N/A		8			20-Jan-17	103 min	Drama			156000	0
Chaar Sahibzaade 2: Rise of Banda Singh Bahadur		N/A	8.7	N/A		N/A		245			11-Nov-16	134 min	Animation			694280	0
Sarvann		N/A	N/A	N/A		N/A		N/A			16-Dec-16	N/A	N/A			4000000	0
"Love, Kennedy"		N/A	N/A	N/A		N/A		N/A			1-Jun-17	N/A	Drama			272292	0
Generation Iron 2		PG-13	6.1	N/A		N/A		231			12-May-17	106 min	Documentary			0	0
A Ghost Story		R	7.7	89		N/A		383			7-Jul-17	87 min	"Drama, Fantasy, Romance"			100000	1566452
Kavalai Vendam		N/A	5	N/A		R.S. Infotainment		239			25-Nov-16	150 min	"Comedy, Romance"			0	0
The Super Parental Guardians		N/A	5.9	N/A		ABS-CBN Film Productions		63			9-Dec-16	115 min	Comedy			0	0
Mubarakan		N/A	N/A	N/A		N/A		N/A			28-Jul-17	N/A	Comedy			757057	0
Badrinath Ki Dulhania		N/A	6.2	N/A		Dharma Productions		"4,330"			10-Mar-17	139 min	"Comedy, Drama, Romance"			1988441	0
Patti Cake$		R	6.5	71		N/A		276			18-Aug-17	108 min	Drama			73051	0
Wheeler		PG	5.8	58		Momentum Pictures		185			3-Feb-17	100 min	Drama			0	0
The Papers		N/A	N/A	N/A		N/A		N/A			12-Jan-18	N/A	"Biography, Drama, History"			0	0
Awakening the Zodiac		R	5	N/A		N/A		84			9-Jun-17	100 min	"Crime, Drama, Mystery"			0	0
Running Shaadi		N/A	6.8	N/A		N/A		201			17-Feb-17	114 min	"Comedy, Romance"			0	0
Beach Rats		N/A	7.1	79		N/A		97			25-Aug-17	95 min	Drama			0	0
Chennai 600028 II: Second Innings		N/A	7.2	N/A		N/A		542			8-Dec-16	150 min	"Comedy, Drama, Sport"			0	0
Untitled Spider-Man Homecoming: Sequel		N/A	N/A	N/A		N/A		N/A			5-Jul-19	N/A	"Action, Adventure, Comedy"			0	0
An Inconvenient Sequel: Truth to Power		N/A	5	66		N/A		440			28-Jul-17	100 min	Documentary			3077667	0
Naanna Nenu Naa Boyfriends		N/A	5.1	N/A		N/A		15			16-Dec-16	N/A	Family			50000000	0
City of Ghosts		N/A	8.4	92		Amazon Studios and IFC Films		26			14-Jul-17	90 min	"Documentary, War"			0	0
Trophy		N/A	N/A	82		N/A		N/A			20-Jan-17	N/A	N/A			0	0
Last Men in Aleppo		N/A	7.6	81		Grasshopper Film		148			23-Jan-17	110 min	Documentary			0	0
Rumble: The Indians Who Rocked The World		N/A	8.5	N/A		N/A		13			26-Jul-17	103 min	N/A			0	0
Menashe		UNRATED	7.3	82		N/A		74			28-Jul-17	82 min	Drama			722918	0
Legion of Brothers		N/A	N/A	N/A		Gravitas Ventures		N/A			N/A	N/A	N/A			0	0
Oklahoma City		NOT RATED	7.5	74		PBS		769			21-Jan-17	102 min	"Documentary, History"			0	0
Hickok		N/A	N/A	N/A		Status Media & Entertainment		N/A			N/A	N/A	Western			0	0
Vivo		N/A	N/A	N/A		Sony Pictures		N/A			18-Dec-20	N/A	"Animation, Comedy, Musical"			0	0
Bogan		N/A	6.5	N/A		N/A		755			2-Feb-17	160 min	Action			0	0
Disney's Newsies the Broadway Musical		PG	8.9	N/A		Disney Theatrical Productions		450			16-Feb-17	149 min	Musical			2000000	0
Sea of Hope		N/A	8.1	N/A		N/A		9			13-Jan-17	47 min	Documentary			1000000	0
Kannula Kaasa Kattappa		N/A	N/A	N/A		N/A		N/A			25-Nov-16	N/A	"Comedy, Crime"			0	0
A Bad Mom's Christmas		N/A	N/A	N/A		N/A		N/A			3-Nov-17	N/A	Comedy			0	0
Arjan		N/A	N/A	N/A		N/A		N/A			5-May-17	149 min	"Drama, Family, Musical"			0	0
Dhuruvangal Pathinaaru		N/A	9.3	N/A		N/A		79			29-Dec-16	105 min	"Mystery, Thriller"			0	0
Kaththi Sandai		N/A	3.6	N/A		N/A		51			23-Dec-16	150 min	Action			0	0
Hyeong		N/A	7.4	N/A		N/A		324			9-Dec-16	110 min	Comedy			51888	0
I am Jane Doe		N/A	7.7	69		50 Eggs Films		17			10-Feb-17	98 min	Documentary			0	0
Qing Sheng		N/A	5.7	N/A		N/A		102			30-Dec-16	116 min	Comedy			96564	0
Oh Yaara Ainvayi Ainvayi Lut Gaya		N/A	N/A	N/A		N/A		N/A			22-May-15	118 min	Romance			0	0
Beautiful Manasugalu		NOT RATED	8.7	N/A		N/A		46			22-Feb-17	110 min	"Drama, Romance, Thriller"			0	0
Shatamanam Bhavati		N/A	7.3	N/A		N/A		360			12-Jan-17	129 min	"Drama, Romance"			0	0
Proud Mary		N/A	N/A	N/A		N/A		N/A			26-Jan-18	N/A	Thriller			0	0
Amusement Park		N/A	N/A	N/A		Paramount Animation		N/A			13-Jul-18	N/A	"Animation, Adventure, Comedy"			100000000	0
Duckweed		N/A	6.6	N/A		China Lion Film Distribution		480			10-Feb-17	102 min	"Comedy, Drama, Fantasy"			469706	0
Sing 2		N/A	N/A	N/A		Universal Pictures		N/A			25-Dec-20	N/A	"Animation, Comedy, Drama"			0	0
Irada		N/A	6.3	N/A		Irada Entertainment		408			17-Feb-17	109 min	"Drama, Thriller"			0	0
Sargi		N/A	7.1	N/A		N/A		66			24-Feb-17	124 min	Drama			4500000	0
Fittest on Earth: A Decade of Fitness		N/A	7.5	N/A		Gravitas Ventures		154			17-Mar-17	116 min	Documentary			0	0
Ennaku Vaaitha Adimaigal		N/A	6.6	N/A		N/A		29			2-Feb-17	135 min	"Comedy, Drama"			0	0
Nenu Local		N/A	6.6	N/A		N/A		458			2-Feb-17	150 min	"Action, Drama"			0	0
Action Point		N/A	N/A	N/A		N/A		N/A			23-Mar-18	N/A	N/A			0	0
The Oscar Nominated Short Films 2017: Animation		N/A	7.3	N/A		N/A		140			8-Feb-17	88 min	Animation			2833441	0
Katamarayudu		N/A	6.5	N/A		N/A		"1,195"			24-Mar-17	146 min	"Action, Family"			0	0
X-Men: Dark Phoenix		N/A	N/A	N/A		N/A		N/A			2-Nov-18	N/A	"Action, Adventure, Sci-Fi"			0	0
Muthuramalingam		N/A	2.6	N/A		N/A		47			24-Feb-17	137 min	Action			0	0
Winner		N/A	5.1	N/A		N/A		78			23-Feb-17	155 min	"Action, Drama"			0	0
Phoenix Forgotten		PG-13	5.5	33		Cinelou Films		589			21-Apr-17	87 min	"Horror, Mystery, Sci-Fi"			2800000	3599570
Trolls 2		N/A	N/A	N/A		N/A		N/A			10-Apr-20	N/A	"Animation, Action, Adventure"			0	0
Kuttram 23		N/A	7.4	N/A		N/A		638			2-Mar-17	151 min	"Action, Thriller"			0	0
Take Me		N/A	5.9	54		The Orchard		208			5-May-17	83 min	"Comedy, Crime"			2583	0
Bluebeard		N/A	6.7	N/A		Bull Pictures		39			17-Mar-17	117 min	Thriller			0	0
A Quiet Place		N/A	N/A	N/A		N/A		N/A			13-Apr-18	N/A	"Drama, Horror, Thriller"			0	0
God's Not Dead 3		N/A	N/A	N/A		Pure Flix		N/A			30-Mar-18	N/A	Drama			0	0
The Spy Who Dumped Me		N/A	N/A	N/A		N/A		N/A			6-Jul-18	N/A	Comedy			0	0
Extraordinary Mission		N/A	7.5	N/A		CMC Pictures		23			7-Apr-17	117 min	"Action, Crime"			28649	0
Babu Baga Busy		N/A	7.9	N/A		N/A		7			5-May-17	126 min	Comedy			0	0
Manje Bistre		N/A	6.7	N/A		N/A		294			14-Apr-17	137 min	"Comedy, Drama"			0	0
Northern Lights: A Journey to Love		N/A	5.7	N/A		ABS-CBN Film Productions		6			31-Mar-17	98 min	Drama			0	0
Kavan		N/A	7.8	N/A		N/A		353			31-Mar-17	150 min	"Action, Romance"			0	0
The Loud House		N/A	N/A	N/A		N/A		N/A			7-Feb-20	N/A	"Animation, Comedy, Family"			0	0
Kadamban		N/A	5.6	N/A		N/A		154			14-Apr-17	142 min	Drama			0	0
Rabb Da Radio		N/A	8.6	N/A		N/A		29			31-Mar-17	N/A	Drama			50000000	0
Saab Bahadar		N/A	N/A	N/A		White Hill Productions		N/A			26-May-17	109 min	Thriller			60000000	0
Brindavanam		N/A	N/A	N/A		N/A		N/A			26-May-17	N/A	N/A			0	0
Thondan		N/A	7.8	N/A		N/A		11			26-May-17	138 min	Crime			0	0
This Is Not What I Expected		N/A	6.8	N/A		Well Go USA Entertainment		136			5-May-17	106 min	"Comedy, Drama, Romance"			334985	0
Night School		N/A	N/A	N/A		Universal Pictures		N/A			28-Sep-18	N/A	Comedy			0	0
Posto		N/A	8.5	N/A		N/A		50			12-May-17	N/A	"Drama, Family"			1000000	0
Julian Schnabel: A Private Portrait		N/A	7.1	42		Buena Onda Srl		12			5-May-17	84 min	Documentary			8679	0
The Kid Who Would Be King		N/A	N/A	N/A		N/A		N/A			28-Sep-18	N/A	N/A			0	0
Untitled Pixar Animation Project		N/A	N/A	N/A		N/A		N/A			18-Jun-21	N/A	Animation			0	0
Glass		N/A	N/A	N/A		N/A		N/A			18-Jan-19	N/A	"Action, Horror, Thriller"			0	0
Lahoriye		N/A	8.2	N/A		N/A		253			12-May-17	137 min	Drama			0	0
Absurd Accident		N/A	N/A	N/A		N/A		N/A			19-May-17	97 min	"Comedy, Thriller"			2000000	0
Dear Other Self		N/A	N/A	N/A		ABS-CBN Film Productions		N/A			26-May-17	110 min	Comedy			0	0
Mamma Mia: Here We Go Again!		N/A	N/A	N/A		Universal Pictures		N/A			20-Jul-18	N/A	Musical			0	0
DiDi's Dreams		N/A	N/A	N/A		Cheng Cheng Films		N/A			2-Jun-17	91 min	"Comedy, Fantasy, Romance"			1500000	0
The Boss Baby 2		N/A	N/A	N/A		Universal Pictures		N/A			26-Mar-21	N/A	"Animation, Comedy, Family"			0	0
Hanuman Da' Damdaar		N/A	N/A	N/A		N/A		N/A			2-Jun-17	N/A	"Animation, Family"			0	0
The Immigrant		UNRATED	7.8	N/A		Lone Star Corporation		"5,618"			17-Jun-17	30 min	"Short, Comedy, Drama"			0	0
Sabotage		APPROVED	7.1	N/A		Scott Entertainment		"11,931"			11-Jan-37	76 min	Thriller			0	0
Things to Come		NOT RATED	6.7	N/A		United Artists		"5,490"			14-Sep-36	100 min	"Drama, Sci-Fi, War"			0	"GBP300,000"
Cinderella		APPROVED	7.3	N/A		RKO Radio Pictures		"116,171"			4-Mar-50	74 min	"Animation, Family, Fantasy"			2900000	85000000
Little Fugitive		NOT RATED	7.6	91		Joseph Burstyn Incorporated		"1,900"			16-Dec-53	80 min	"Drama, Family"			30000	27373
Rear Window		APPROVED	8.5	N/A		Paramount Pictures		"347,060"			1-Sep-54	112 min	"Mystery, Thriller"			1000000	36764313
Ben-Hur		G	8.1	90		MGM		"176,688"			29-Jan-60	212 min	"Adventure, Drama, History"			15900000	74700000
Le Petit Soldat		NOT RATED	7.4	97		Rialto Pictures		"4,260"			25-Jan-63	88 min	"War, Drama"			180000	24296
Le joli mai		N/A	8.1	N/A		Icarus Films		430			1-May-63	165 min	Documentary			20178	0
Nothing But a Man		NOT RATED	8.1	87		New Video		963			19-Sep-64	95 min	"Drama, Romance"			160000	12438
The Jungle Book		G	7.6	N/A		Buena Vista Pictures		"134,209"			18-Oct-67	78 min	"Animation, Adventure, Family"			4000000	141843612
Airport		G	6.6	N/A		Universal Pictures		"14,160"			5-Mar-70	137 min	"Action, Drama, Thriller"			10000000	100489150
Gimme Shelter		R	7.9	80		Roadside Attractions		"8,801"			6-Dec-70	91 min	"Documentary, Music, Thriller"			252570	0
A Clockwork Orange		R	8.3	78		Warner Bros.		"609,595"			2-Feb-72	136 min	"Crime, Drama, Sci-Fi"			2200000	0
Max and the Junkmen		NOT RATED	7.4	N/A		Rialto Pictures		"1,515"			17-Feb-71	112 min	"Crime, Drama, Romance"			33065	0
Wake in Fright		R	7.7	88		Drafthouse Films		"6,751"			N/A	108 min	"Drama, Thriller"			800000	50394
The Big Boss		R	7.1	N/A		National General Pictures		"20,061"			1-Feb-81	99 min	"Action, Crime, Drama"			100000	0
Un Flic		PG	7.1	72		Rialto Pictures		"5,656"			N/A	98 min	"Crime, Thriller"			48040	0
Weekend of a Champion		N/A	7.4	63		Submarine Media		404			15-Sep-72	80 min	Documentary			4100	0
Celine and Julie Go Boating		UNRATED	7.8	N/A		N/A		"3,601"			18-Sep-74	193 min	"Comedy, Drama, Fantasy"			31452	0
The Return of the Pink Panther		G	7.1	N/A		United Artists		"20,835"			21-May-75	113 min	"Comedy, Crime, Mystery"			5000000	41833347
The Hindenburg		PG	6.2	N/A		Universal Pictures		"4,079"			25-Dec-75	125 min	"Adventure, Drama, History"			15000000	27945225
Smokey and the Bandit		PG	6.9	N/A		Universal Pictures		"34,854"			27-May-77	96 min	"Action, Comedy"			4300000	126737428
Blue Collar		R	7.6	N/A		Universal Pictures		"5,127"			10-Feb-78	114 min	"Crime, Drama"			0	0
The Deer Hunter		R	8.2	81		Universal Pictures		"252,045"			23-Feb-79	183 min	"Drama, War"			15000000	48979328
Halloween		R	7.8	78		Compass International Pictures		"171,144"			25-Oct-78	91 min	"Horror, Thriller"			300000	47000000
Jaws 2		PG	5.7	52		MCA Universal Home Video		"56,101"			16-Jun-78	116 min	"Adventure, Drama, Horror"			20000000	102922376
1941		PG	5.9	34		MCA Universal Home Video		"26,731"			14-Dec-79	118 min	"Action, Comedy, War"			35000000	31755742
Apocalypse Now		R	8.5	90		United Artists		"487,985"			15-Aug-79	147 min	"Drama, War"			31500000	83471511
The Jerk		R	7.2	N/A		Universal Pictures		"45,364"			14-Dec-79	94 min	Comedy			73691419	0
The Prisoner of Zenda		PG	5	N/A		Universal Pictures		854			17-Aug-79	108 min	"Adventure, Comedy"			12500000	2425315
The Blues Brothers		R	7.9	60		Universal Pictures		"152,652"			20-Jun-80	133 min	"Action, Comedy, Crime"			27000000	57229890
Cheech and Chong's Next Movie		R	6.1	66		Universal Pictures		"9,760"			18-Jul-80	99 min	"Comedy, Crime, Sci-Fi"			41675194	0
Coal Miner's Daughter		PG	7.5	87		MCA Universal Home Video		"13,791"			7-Mar-80	124 min	"Biography, Drama, Music"			67182787	0
Flash Gordon		PG	6.5	63		MCA Universal Home Video		"40,782"			5-Dec-80	111 min	"Action, Adventure, Sci-Fi"			20000000	0
Friday the 13th		R	6.5	19		Paramount Pictures		"91,250"			9-May-80	95 min	"Horror, Mystery, Thriller"			550000	39754601
Gloria		PG	7.1	N/A		Columbia Pictures Corporation		"6,527"			1-Oct-80	123 min	"Crime, Drama, Thriller"			0	0
In God We Trust (or Gimme That Prime Time Religion)		PG	5.4	N/A		N/A		823			26-Sep-80	97 min	Comedy			2008150	0
The Island		R	5.3	N/A		Universal Pictures		"3,088"			13-Jun-80	109 min	"Action, Adventure, Drama"			22000000	15716828
The Nude Bomb		PG	5	N/A		MCA Universal Home Video		"2,631"			9-May-80	94 min	"Comedy, Crime, Mystery"			15000000	14662035
Resurrection		PG	7.4	N/A		MCA Universal Home Video		"2,274"			26-Sep-80	103 min	"Drama, Fantasy"			3910019	0
Smokey and the Bandit II		PG	5.2	N/A		MCA Universal Home Video		"12,014"			15-Aug-80	100 min	"Action, Comedy"			66132626	0
Somewhere in Time		PG	7.3	29		MCA Universal Home Video		"22,206"			3-Oct-80	103 min	"Drama, Fantasy, Romance"			5100000	9709597
Where the Buffalo Roam		R	6.7	N/A		Universal Studios		"9,918"			25-Apr-80	96 min	"Biography, Comedy"			6659377	0
All Night Long		R	6	N/A		Universal		"1,361"			6-Mar-81	87 min	"Comedy, Drama, Romance"			4454295	0
An American Werewolf in London		R	7.6	60		Universal Pictures		"71,463"			21-Aug-81	97 min	"Comedy, Horror"			10000000	30565292
Bustin' Loose		R	6.1	55		Universal Pictures		"2,191"			22-May-81	94 min	"Comedy, Drama"			31261269	0
Comin' at Ya!		R	5	N/A		Drafthouse Films		355			24-Jul-81	91 min	Western			12000000	0
Conan the Barbarian		R	6.9	43		Universal Pictures		"119,512"			14-May-82	129 min	"Adventure, Fantasy"			20000000	39565475
Continental Divide		PG	6.1	N/A		Universal Pictures		"3,880"			18-Sep-81	103 min	"Comedy, Romance"			15578237	0
Death Wish II		X	6	N/A		N/A		"11,228"			19-Feb-82	88 min	"Action, Crime, Drama"			2000000	16100000
Endless Love		R	4.7	N/A		Universal		"5,827"			17-Jul-81	116 min	"Drama, Romance"			31184024	0
The Four Seasons		PG	7.2	N/A		MCA Universal Home Video		"3,335"			22-May-81	107 min	"Comedy, Drama"			50427646	0
The Incredible Shrinking Woman		PG	5.4	N/A		MCA Universal Home Video		"3,732"			30-Jan-81	88 min	"Comedy, Sci-Fi"			20259961	0
On Golden Pond		PG	7.7	N/A		Twentieth Century Fox Home Entertainment		"22,850"			12-Feb-82	109 min	Drama			119285432	0
The Pursuit of D.B. Cooper		PG	5.7	N/A		Universal		834			13-Nov-81	100 min	"Adventure, Crime, Thriller"			12000000	3702028
Raiders of the Lost Ark		PG	8.5	85		Paramount Pictures		"718,669"			12-Jun-81	115 min	"Action, Adventure"			18000000	248159971
Silence of the North		PG	6.8	N/A		N/A		173			23-Oct-81	94 min	Drama			8400000	1622898
The Best Little Whorehouse in Texas		R	5.8	N/A		Universal Pictures		"8,218"			23-Jul-82	114 min	"Comedy, Musical"			35000000	69701637
Cat People		R	6.1	62		Universal Pictures		"15,235"			2-Apr-82	118 min	"Fantasy, Horror, Thriller"			18000000	7000000
The Dark Crystal		PG	7.2	N/A		Sony Pictures Home Entertainment		"44,862"			17-Dec-82	93 min	"Adventure, Family, Fantasy"			15000000	40577001
Dead Men Don't Wear Plaid		PG	6.8	N/A		Universal Pictures		"17,636"			21-May-82	88 min	"Comedy, Crime, Mystery"			9000000	18197170
Death Valley		R	5.5	N/A		Universal		"1,057"			7-May-82	87 min	"Crime, Horror, Thriller"			0	0
E.T. the Extra-Terrestrial		PG	7.9	91		Universal Pictures		"303,850"			11-Jun-82	115 min	"Family, Sci-Fi"			10500000	435110554
The Escape Artist		PG	6.2	N/A		LionsGate Entertainment		525			28-May-82	94 min	"Crime, Drama"			143369	0
Fast Times at Ridgemont High		R	7.2	67		Universal Pictures		"76,980"			13-Aug-82	90 min	"Comedy, Drama"			4500000	27092880
Fighting Back		R	6.1	N/A		Paramount Pictures		369			21-May-82	98 min	"Action, Crime, Drama"			3335948	0
Heat and Dust		R	6.7	N/A		Cohen Media		"1,231"			1-Jan-83	133 min	"Drama, Romance"			802965	0
One from the Heart		R	6.5	57		Columbia Pictures		"4,125"			6-Aug-82	107 min	"Drama, Musical, Romance"			26000000	636796
Paradise		R	4.9	N/A		Embassy Pictures		"2,035"			7-May-82	100 min	"Adventure, Romance"			3500000	5588800
Six Weeks		PG	5.6	N/A		Universal		642			17-Dec-82	107 min	Drama			6668025	0
The Thing		R	8.2	57		Universal Pictures		"284,980"			25-Jun-82	109 min	"Horror, Mystery, Sci-Fi"			15000000	13782838
D.C. Cab		R	5.4	N/A		MCA Universal Home Video		"3,641"			16-Dec-83	100 min	"Comedy, Action"			16134627	0
Doctor Detroit		R	5.1	N/A		Universal		"4,492"			6-May-83	89 min	Comedy			10375893	0
Eddie Macon's Run		PG	5.6	N/A		Universal Studios		764			25-Mar-83	95 min	"Action, Adventure, Crime"			1262691	0
Hanna K.		R	6.6	N/A		Gaumont		489			N/A	111 min	Drama			114247	0
Jaws 3-D		PG	3.6	N/A		MCA Universal Home Video		"30,791"			22-Jul-83	99 min	"Adventure, Horror, Thriller"			20500000	45517055
The Meaning of Life		R	7.6	N/A		Universal Pictures		"93,642"			31-Mar-83	107 min	"Comedy, Musical"			9000000	14929552
The Pirates of Penzance		G	7.2	N/A		Universal Studios		"2,695"			18-Feb-83	112 min	"Comedy, Musical, Romance"			694497	0
Private School		R	5.2	N/A		Universal Pictures		"4,562"			29-Jul-83	89 min	"Comedy, Romance"			14049540	0
Psycho II		R	6.4	N/A		MCA Universal Home Video		"18,182"			3-Jun-83	113 min	"Crime, Horror, Mystery"			5000000	34725000
Rumble Fish		R	7.2	63		Universal Pictures		"26,067"			21-Oct-83	94 min	Drama			10000000	2494480
Scarface		R	8.3	65		Universal Films		"587,396"			9-Dec-83	170 min	"Crime, Drama"			25000000	45598982
Smokey and the Bandit Part 3		PG	3.3	N/A		Universal		"6,749"			12-Aug-83	85 min	"Comedy, Crime"			5678950	0
The Sting II		PG	5.2	N/A		MCA Universal Home Video		"1,671"			18-Feb-83	102 min	"Comedy, Crime"			6347072	0
Stroker Ace		PG	4.7	N/A		WARNER BROTHERS PICTURES		"2,835"			1-Jul-83	96 min	"Action, Comedy, Romance"			13000000	0
Tender Mercies		PG	7.4	N/A		HBO Video		"7,653"			10-Jun-83	92 min	"Drama, Music"			8443124	0
All of Me		PG	6.7	N/A		HBO Video		"14,046"			21-Sep-84	93 min	"Comedy, Fantasy, Romance"			36403064	0
The Bounty		PG	7.1	N/A		MGM		"19,346"			4-May-84	132 min	"Action, Adventure, Drama"			25000000	8600000
Conan the Destroyer		PG	5.9	N/A		N/A		"65,599"			29-Jun-84	103 min	"Action, Adventure, Fantasy"			18000000	31042035
Hard to Hold		PG	4.8	N/A		Universal		498			6-Apr-84	93 min	"Drama, Music"			0	0
Iceman		PG	6.1	N/A		Universal Pictures		"4,343"			13-Apr-84	100 min	"Drama, Sci-Fi"			7343032	0
The Lonely Guy		R	6.2	N/A		MCA Universal Home Video		"5,548"			27-Jan-84	90 min	Comedy			5718573	0
Mass Appeal		PG	6.7	N/A		Universal Pictures		831			14-Dec-84	99 min	Drama			1945658	0
Missing in Action		R	5.3	N/A		MGM Home Entertainment		"11,371"			16-Nov-84	101 min	"Action, Adventure, Drama"			2550000	22812500
1984		R	7.2	N/A		Live Home Video		"53,670"			22-Mar-85	113 min	"Drama, Sci-Fi"			0	"GBP3,000,000"
Repo Man		R	6.9	75		Universal Pictures		"27,338"			2-Mar-84	92 min	"Comedy, Crime, Sci-Fi"			1500000	3569083
The River		PG-13	6.3	N/A		MCA Universal Home Video		"5,283"			11-Jan-85	124 min	Drama			18000000	11489982
Runaway		PG-13	5.9	50		Sony Pictures Home Entertainment		"9,211"			14-Dec-84	99 min	"Action, Crime, Sci-Fi"			6770587	0
Sixteen Candles		PG	7.2	61		MCA Universal Home Video		"82,282"			4-May-84	93 min	"Comedy, Romance"			6500000	23686027
The Wild Life		R	6.1	N/A		MCA Universal Home Video		"1,934"			28-Sep-84	96 min	"Comedy, Drama"			11020375	0
Back to the Future		PG	8.5	86		Universal Pictures		"810,723"			3-Jul-85	116 min	"Adventure, Comedy, Sci-Fi"			19000000	210609762
The Breakfast Club		R	7.9	62		Universal Pictures		"281,569"			15-Feb-85	97 min	"Comedy, Drama"			1000000	45875171
Brewster's Millions		PG	6.5	N/A		MCA Universal Home Video		"30,072"			22-May-85	102 min	Comedy			20000000	38800000
Into the Night		R	6.5	N/A		Universal		"8,371"			22-Feb-85	115 min	"Comedy, Drama, Thriller"			7562164	0
Out of Africa		PG	7.2	N/A		Universal Pictures		"56,938"			20-Dec-85	161 min	"Biography, Drama, Romance"			31000000	87100000
Weird Science		PG-13	6.6	46		Universal Pictures		"64,864"			2-Aug-85	94 min	"Comedy, Romance, Sci-Fi"			7500000	23834048
Year of the Dragon		R	6.9	N/A		MGM Home Entertainment		"11,371"			16-Aug-85	134 min	"Action, Crime, Drama"			24000000	18700000
"'night, Mother"		PG-13	7.6	N/A		Universal Pictures		"1,823"			29-Jan-87	96 min	Drama			441863	0
An American Tail		G	6.9	38		Universal Pictures		"40,757"			21-Nov-86	80 min	"Animation, Comedy, Drama"			47483002	0
The Best of Times		PG-13	6	N/A		Sultan Entertainment		"5,480"			31-Jan-86	104 min	"Comedy, Drama, Sport"			12000000	7790931
Blue Velvet		R	7.8	76		MGM		"146,048"			23-Oct-86	120 min	"Drama, Mystery, Thriller"			6000000	8551228
Brighton Beach Memoirs		PG-13	6.9	N/A		MCA Universal Home Video		"2,680"			25-Dec-86	108 min	Comedy			18000000	11957943
Crimes of the Heart		PG-13	6.4	N/A		De Laurentiis Entertainment Group (DEG)		"3,063"			23-Jan-87	105 min	"Comedy, Drama"			20000000	22905500
Crossroads		R	7.1	N/A		Sony Pictures Home Entertainment		"11,338"			14-Mar-86	99 min	"Drama, Music, Mystery"			5839031	0
Howard the Duck		PG	4.6	28		Universal Pictures		"35,856"			1-Aug-86	110 min	"Action, Adventure, Comedy"			35000000	16295774
Legal Eagles		PG	5.9	N/A		MCA Universal Home Video		"8,349"			20-Jun-86	116 min	"Comedy, Crime, Romance"			40000000	49851591
The Manhattan Project		PG-13	6.1	N/A		HBO Video		"4,621"			13-Jun-86	117 min	"Sci-Fi, Thriller"			18000000	3900000
The Money Pit		PG	6.3	49		MCA Universal Home Video		"41,066"			26-Mar-86	91 min	Comedy			10000000	37499651
Raw Deal		R	5.5	N/A		HBO Video		"24,648"			6-Jun-86	106 min	"Action, Crime, Thriller"			8500000	16209459
She's Gotta Have It		R	6.6	79		Twentieth Century Fox Home Entertainment		"5,085"			8-Aug-86	84 min	"Comedy, Romance"			175000	7137502
Sweet Liberty		PG	5.7	N/A		MCA Universal Home Video		"2,291"			16-May-86	106 min	Comedy			14205021	0
The Texas Chainsaw Massacre 2		UNRATED	5.6	N/A		Media Home Entertainment		"20,966"			22-Aug-86	101 min	"Comedy, Horror"			4700000	8025872
The Allnighter		PG-13	4	N/A		MCA Universal Home Video		901			1-May-87	108 min	"Comedy, Romance"			2700000	0
Amazon Women on the Moon		R	6.1	N/A		MCA Universal Home Video		"8,727"			18-Sep-87	85 min	"Comedy, Sci-Fi"			548696	0
Born in East L.A.		R	5.9	N/A		Universal Pictures		"4,627"			21-Aug-87	85 min	Comedy			17355263	0
Chuck Berry Hail! Hail! Rock 'n' Roll		PG	7.8	N/A		Universal Pictures		"1,041"			9-Oct-87	120 min	"Documentary, Biography, Music"			719323	0
Cross My Heart		R	5.7	N/A		MCA Universal Home Video		876			13-Nov-87	90 min	"Comedy, Romance"			1025762	0
Cry Freedom		PG	7.5	59		MCA Universal Home Video		"10,648"			6-Nov-87	157 min	"Biography, Drama, History"			29000000	5899797
Dragnet		PG-13	5.9	N/A		MCA Universal Home Video		"27,318"			26-Jun-87	106 min	"Comedy, Crime"			20000000	57387516
End of the Line		PG	5.7	N/A		Lionsgate		504			28-Aug-87	103 min	"Comedy, Drama, Romance"			0	0
Harry and the Hendersons		PG	5.9	42		Universal Pictures		"26,050"			5-Jun-87	110 min	"Comedy, Family, Fantasy"			29760613	0
Home Is Where the Hart Is		PG-13	4.3	N/A		Hart Productions Inc.		105			13-Jun-90	94 min	Comedy			11660	0
Hot Pursuit		PG-13	5.8	N/A		Paramount Pictures		"2,754"			8-May-87	93 min	Comedy			4215859	0
